Hours_Studied,Marks_Obtained
4.4,21.0
9.6,49.5
7.6,37.8
6.4,26.2
2.4,17.7
2.4,15.8
1.5,11.5
8.8,39.5
6.4,39.0
7.4,30.0
1.2,8.9
9.7,59.5
8.5,37.5
2.9,11.7
2.6,13.5
2.7,11.0
3.7,10.7
5.7,28.8
4.9,19.2
3.6,20.4
6.5,27.9
2.3,19.2
3.6,14.1
4.3,19.9
5.1,29.6
8.1,34.3
2.8,15.1
5.6,34.5
6.3,23.5
1.4,7.9
6.5,33.8
2.5,16.4
1.6,1.8
9.5,40.9
9.7,51.1
8.3,43.0
3.7,19.8
1.9,11.2
7.2,
5.0,26.2
2.1,12.0
5.5,
1.3,
9.2,48.4
3.3,10.5
7.0,38.3
,14.1
,32.4
5.9,35.3
2.7,9.4
,53.3
8.0,42.1
9.5,51.6
9.1,55.0
6.4,30.8
9.3,42.7
1.8,4.6
2.8,9.9
1.4,6.6
3.9,21.2
4.5,23.9
3.4,21.1
8.5,42.6
4.2,28.3
3.5,16.2
5.9,43.1
2.3,14.6
8.2,36.7
1.7,3.1
9.9,
,38.9
2.8,17.6
1.0,7.4
8.3,41.1
7.4,32.8
7.6,30.4
7.9,37.3
1.7,12.8
,22.1
2.0,3.8
8.8,
6.6,34.9
4.0,15.6
1.6,8.8
3.8,19.3
3.9,13.8
7.6,39.8
6.7,36.3
9.0,
5.2,31.3
2.1,3.6
7.4,32.3
7.8,41.6
6.1,33.1
7.9,42.1
5.4,46.3
5.7,31.4
4.8,
1.2,10.8
2.0,13.3
1.3,
6.7,37.3
3.8,15.1
,26.8
9.2,43.6
3.2,16.4
4.7,35.1
7.8,29.7
3.1,18.9
1.7,
3.6,15.6
,17.9
9.4,47.3
8.3,36.1
6.7,29.9
8.8,47.4
8.2,37.3
2.7,14.6
9.0,45.2
5.9,26.2
8.3,52.2
,48.7
3.9,9.4
2.0,10.9
,12.2
,28.3
8.4,38.0
8.7,42.9
1.1,8.0
5.6,32.3
4.8,18.0
3.0,13.3
2.1,8.1
4.0,16.7
9.5,56.3
3.9,21.5
5.7,22.2
7.3,41.1
4.3,32.1
9.7,53.7
9.7,40.9
3.3,14.1
5.5,
3.7,15.0
3.6,20.2
1.3,10.4
6.5,27.9
5.5,27.2
1.5,-8.7
3.5,12.4
